,titulo,año,duracion,posicion,rating
0,Una batalla tras otra,2025,161 min.,1,"6,9"
1,Los pecadores,2025,137 min.,2,"6,5"
2,Rooster,2026,35 min.,3,"6,1"
3,Reversión,2025,97 min.,4,"5,1"
4,Weapons,2025,128 min.,5,"6,7"
5,DTF St. Louis,2026,30 min.,6,"6,4"
6,The Comeback,2005,30 min.,7,"7,0"
7,El caballero de los Siete Reinos,2026,42 min.,8,"7,6"
8,Love & Death,2023,55 min.,9,"6,7"
9,The Pitt,2025,50 min.,10,"7,9"
10,Superman,2025,119 min.,11,"6,0"
11,Mira: La vida después del divorcio,2026,30 min.,12,--
12,El infierno de las mujeres,2026,45 min.,13,--
13,Dune: Parte Dos,2024,166 min.,14,"7,6"
14,Portobello,2026,60 min.,15,"6,1"
15,Dune,2021,155 min.,16,"7,2"
16,Task,2025,65 min.,17,"7,4"
17,"Yo, Rosinski",2024,86 min.,18,--
18,Singular,2025,100 min.,19,"4,9"
19,La acompañante,2025,97 min.,20,"6,2"
20,Barbie,2023,114 min.,21,"5,8"
21,Mickey 17,2025,137 min.,22,"6,0"
22,From,2022,50 min.,23,"6,7"
23,Succession,2018,60 min.,24,"8,0"
24,La empresa de sillas,2025,30 min.,25,"6,2"
25,El triángulo de la tristeza,2022,147 min.,26,"6,9"
26,La Casa del Dragón,2022,60 min.,27,"7,4"
27,Sobrevivir al Paraíso: Más allá de los Testigos de Jehová,2026,46 min.,28,"6,3"
28,Pubertat,2025,45 min.,29,"7,3"
29,El padre,2020,97 min.,30,"7,6"
30,Civil War,2024,109 min.,31,"6,6"
31,It: Bienvenidos a Derry,2025,60 min.,32,"7,0"
32,Primal,2019,22 min.,33,"7,7"
33,Red Eye,2024,45 min.,34,"6,2"
34,La ciudad es nuestra,2022,60 min.,35,"7,3"
35,Industry,2020,60 min.,36,"6,6"
36,Como agua para chocolate,2024,50 min.,37,"6,8"
37,Jurado Nº 2,2024,110 min.,38,"6,8"
38,Furia,2025,35 min.,39,"6,5"
39,Banksters,2026,44 min.,40,--
